12:50:26.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
12:50:26.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
12:50:26.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
12:50:26.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
12:50:26.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
12:50:26.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
12:50:26.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
12:50:31.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
12:50:31.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
12:50:31.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
12:50:31.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
12:50:31.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
12:50:31.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
12:50:31.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
12:50:31.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
12:50:36.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
12:50:36.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
12:50:36.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
12:50:36.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
12:50:36.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
12:50:36.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
12:50:36.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
12:50:36.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
12:50:41.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
12:50:41.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
12:50:41.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
12:50:41.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
12:50:41.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
12:50:41.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
12:50:41.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
12:50:41.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
12:50:46.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
12:50:46.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
12:50:46.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
12:50:46.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
12:50:46.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
12:50:46.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
12:50:46.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
12:50:46.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
12:50:51.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
12:50:51.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
12:50:51.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
12:50:51.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
12:50:51.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
12:50:51.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
12:50:51.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
12:50:51.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
12:50:56.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
12:50:56.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
12:50:56.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
12:50:56.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
12:50:56.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
12:50:56.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
12:50:56.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
12:50:56.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
12:51:01.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
12:51:01.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
12:51:01.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
12:51:01.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
12:51:01.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
12:51:01.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
12:51:01.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
12:51:01.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
12:51:06.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
12:51:06.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
12:51:06.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
12:51:06.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
12:51:06.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
12:51:06.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
12:51:06.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
12:51:06.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
12:51:11.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
12:51:11.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
12:51:11.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
12:51:11.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
12:51:11.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
12:51:11.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
12:51:11.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
12:51:11.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
12:51:16.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
12:51:16.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
12:51:16.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
12:51:16.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
12:51:16.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
12:51:16.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
12:51:16.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
12:51:16.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
12:51:21.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
12:51:21.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
12:51:21.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
12:51:21.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
12:51:21.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
12:51:21.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
12:51:21.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
12:51:21.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
12:51:26.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
12:51:26.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
12:51:26.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
12:51:26.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
12:51:26.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
12:51:26.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
12:51:26.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
12:51:26.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
12:51:31.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
12:51:31.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
12:51:31.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
12:51:31.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
12:51:31.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
12:51:31.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
12:51:31.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
12:51:31.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
12:51:36.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
12:51:36.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
12:51:36.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
12:51:36.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
12:51:36.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
12:51:36.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
12:51:36.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
12:51:36.793 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
12:51:41.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
12:51:41.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
12:51:41.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
12:51:41.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
12:51:41.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
12:51:41.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
12:51:41.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
12:51:41.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
12:51:46.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
12:51:46.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
12:51:46.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
12:51:46.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
12:51:46.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
12:51:46.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
12:51:46.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
12:51:46.792 [schedule-pool-18] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
12:51:51.792 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
12:51:51.792 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
12:51:51.792 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
12:51:51.792 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
12:51:51.792 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
12:51:51.792 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
12:51:51.792 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
12:51:51.798 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
12:51:56.793 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
12:51:56.793 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
12:51:56.793 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
12:51:56.793 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
12:51:56.793 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
12:51:56.793 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
12:51:56.793 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
12:51:56.793 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
12:52:01.792 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
12:52:01.792 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
12:52:01.792 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
12:52:01.792 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
12:52:01.792 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
12:52:01.792 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
12:52:01.792 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
12:52:01.792 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
12:52:06.793 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
12:52:06.793 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
12:52:06.793 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
12:52:06.793 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
12:52:06.793 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
12:52:06.793 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
12:52:06.793 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
12:52:06.793 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
12:52:11.793 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
12:52:11.793 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
12:52:11.793 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
12:52:11.793 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
12:52:11.793 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
12:52:11.793 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
12:52:11.793 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
12:52:11.793 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,180] - 数据采集过程中发生异常，本次数据不做数据库插入。
12:52:16.792 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器1数据采集异常：null
12:52:16.792 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器2数据采集异常：null
12:52:16.792 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器3数据采集异常：null
12:52:16.792 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器4数据采集异常：null
12:52:16.792 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器5数据采集异常：null
12:52:16.792 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器6数据采集异常：null
12:52:16.792 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,171] - 传感器8数据采集异常：null
