10:10:24.662 [schedule-pool-9] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器5数据采集异常：null
10:10:24.663 [schedule-pool-9] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器6数据采集异常：null
10:10:24.663 [schedule-pool-9] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器8数据采集异常：null
10:10:24.663 [schedule-pool-9] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,169] - 数据采集过程中发生异常，本次数据不做数据库插入。
10:10:29.662 [schedule-pool-1] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器1数据采集异常：null
10:10:29.662 [schedule-pool-1] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器2数据采集异常：null
10:10:29.662 [schedule-pool-1] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器3数据采集异常：null
10:10:29.662 [schedule-pool-1] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器4数据采集异常：null
10:10:29.662 [schedule-pool-1] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器5数据采集异常：null
10:10:29.663 [schedule-pool-1] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器6数据采集异常：null
10:10:29.663 [schedule-pool-1] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器8数据采集异常：null
10:10:29.663 [schedule-pool-1] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,169] - 数据采集过程中发生异常，本次数据不做数据库插入。
10:10:34.662 [schedule-pool-4] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器1数据采集异常：null
10:10:34.662 [schedule-pool-4] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器2数据采集异常：null
10:10:34.662 [schedule-pool-4] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器3数据采集异常：null
10:10:34.662 [schedule-pool-4] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器4数据采集异常：null
10:10:34.662 [schedule-pool-4] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器5数据采集异常：null
10:10:34.662 [schedule-pool-4] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器6数据采集异常：null
10:10:34.663 [schedule-pool-4] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器8数据采集异常：null
10:10:34.663 [schedule-pool-4] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,169] - 数据采集过程中发生异常，本次数据不做数据库插入。
10:10:39.662 [schedule-pool-11] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器1数据采集异常：null
10:10:39.662 [schedule-pool-11] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器2数据采集异常：null
10:10:39.662 [schedule-pool-11] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器3数据采集异常：null
10:10:39.662 [schedule-pool-11] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器4数据采集异常：null
10:10:39.662 [schedule-pool-11] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器5数据采集异常：null
10:10:39.662 [schedule-pool-11] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器6数据采集异常：null
10:10:39.663 [schedule-pool-11] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器8数据采集异常：null
10:10:39.663 [schedule-pool-11] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,169] - 数据采集过程中发生异常，本次数据不做数据库插入。
10:10:44.662 [schedule-pool-5] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器1数据采集异常：null
10:10:44.662 [schedule-pool-5] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器2数据采集异常：null
10:10:44.662 [schedule-pool-5] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器3数据采集异常：null
10:10:44.662 [schedule-pool-5] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器4数据采集异常：null
10:10:44.662 [schedule-pool-5] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器5数据采集异常：null
10:10:44.662 [schedule-pool-5] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器6数据采集异常：null
10:10:44.663 [schedule-pool-5] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器8数据采集异常：null
10:10:44.663 [schedule-pool-5] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,169] - 数据采集过程中发生异常，本次数据不做数据库插入。
10:10:49.661 [schedule-pool-3] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器1数据采集异常：null
10:10:49.661 [schedule-pool-3] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器2数据采集异常：null
10:10:49.661 [schedule-pool-3] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器3数据采集异常：null
10:10:49.661 [schedule-pool-3] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器4数据采集异常：null
10:10:49.661 [schedule-pool-3] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器5数据采集异常：null
10:10:49.662 [schedule-pool-3] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器6数据采集异常：null
10:10:49.662 [schedule-pool-3] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器8数据采集异常：null
10:10:49.662 [schedule-pool-3] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,169] - 数据采集过程中发生异常，本次数据不做数据库插入。
10:10:54.662 [schedule-pool-2] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器1数据采集异常：null
10:10:54.662 [schedule-pool-2] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器2数据采集异常：null
10:10:54.662 [schedule-pool-2] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器3数据采集异常：null
10:10:54.662 [schedule-pool-2] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器4数据采集异常：null
10:10:54.663 [schedule-pool-2] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器5数据采集异常：null
10:10:54.663 [schedule-pool-2] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器6数据采集异常：null
10:10:54.663 [schedule-pool-2] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器8数据采集异常：null
10:10:54.663 [schedule-pool-2] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,169] - 数据采集过程中发生异常，本次数据不做数据库插入。
10:10:59.660 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器1数据采集异常：null
10:10:59.660 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器2数据采集异常：null
10:10:59.660 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器3数据采集异常：null
10:10:59.660 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器4数据采集异常：null
10:10:59.660 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器5数据采集异常：null
10:10:59.660 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器6数据采集异常：null
10:10:59.660 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,159] - 传感器8数据采集异常：null
10:10:59.660 [schedule-pool-14] ERROR c.f.a.s.i.SoilSensorValueServiceImpl - [fetchAllSensorData,169] - 数据采集过程中发生异常，本次数据不做数据库插入。
